Language,Level,Question,Option A,Option B,Option C,Option D,Correct Option
Groovy,Advanced,What are advanced use cases for Groovy?,File system management,"High-performance computing, data analysis, AI",Basic website scripting,None of the above,B
Objective-C,Intermediate,What are common data structures in Objective-C?,None of the above,"Loops, arrays, classes","Lists, dictionaries, sets, tuples","Functions, arrays, objects",C
Scala,Advanced,What are advanced use cases for Scala?,None of the above,"High-performance computing, data analysis, AI",Basic website scripting,File system management,B
Scala,Intermediate,What are common data structures in Scala?,"Functions, arrays, objects","Lists, dictionaries, sets, tuples",None of the above,"Loops, arrays, classes",B
MATLAB,Beginner,What is an array in MATLAB?,A list of random values,A set of variables,A collection of elements of the same type,A collection of functions,C
React,Beginner,What is an array in React?,A list of random values,A collection of functions,A collection of elements of the same type,A set of variables,C
Elixir,Beginner,What is an array in Elixir?,A collection of functions,A list of random values,A collection of elements of the same type,A set of variables,C
Go,Advanced,Discuss performance optimization techniques in Go.,Write all code in one function,"Optimize algorithms, reduce time complexity",Use only built-in functions,Avoid using any loops,B
C++,Beginner,How do you import modules in C++?,import module_name,require module_name,include module_name,using module_name,A
Go,Advanced,How does memory management work in Go?,It involves allocation and deallocation of memory,Memory management is handled by users,It involves printing memory addresses,None of the above,A
Perl,Beginner,What is the difference between a string and an integer in Perl?,There is no difference,"An integer is a whole number, a string is text",A string is a sequence of characters,"A string is a number, and an integer is text",B
Elixir,Intermediate,Explain functions in Elixir.,Functions are reusable blocks of code,Functions handle user input,Functions are used for file I/O,Functions are used to store variables,A
Groovy,Intermediate,Explain the concept of scope in Groovy.,Scope defines where variables can be accessed,None of the above,Scope is how fast a program runs,Scope is the time limit for variable usage,A
MATLAB,Advanced,Explain multithreading or asynchronous operations in MATLAB.,Handles memory management,Allows multiple tasks to run concurrently,Executes one task at a time,None of the above,B
SQL,Intermediate,Explain functions in SQL.,Functions handle user input,Functions are reusable blocks of code,Functions are used to store variables,Functions are used for file I/O,B
PHP,Advanced,How does memory management work in PHP?,It involves allocation and deallocation of memory,None of the above,It involves printing memory addresses,Memory management is handled by users,A
Java,Advanced,Explain multithreading or asynchronous operations in Java.,None of the above,Allows multiple tasks to run concurrently,Executes one task at a time,Handles memory management,B
SQL,Advanced,How does memory management work in SQL?,Memory management is handled by users,It involves allocation and deallocation of memory,It involves printing memory addresses,None of the above,B
PHP,Intermediate,How do you handle errors in PHP?,Error-handling functions,None of the above,If-else statements,Try-except blocks,D
Kotlin,Intermediate,What are common data structures in Kotlin?,None of the above,"Functions, arrays, objects","Loops, arrays, classes","Lists, dictionaries, sets, tuples",D
React,Beginner,What does the print function do in React?,Returns a value,Displays a value on the screen,Stores data,Writes a value to a file,B
Elixir,Beginner,How do you define a function in Elixir?,function_name(){},function function_name(){},function_name() = {},def function_name():,D
COBOL,Advanced,What are advanced use cases for COBOL?,None of the above,Basic website scripting,"High-performance computing, data analysis, AI",File system management,C
TypeScript,Advanced,Explain multithreading or asynchronous operations in TypeScript.,None of the above,Allows multiple tasks to run concurrently,Handles memory management,Executes one task at a time,B
COBOL,Advanced,How does memory management work in COBOL?,It involves allocation and deallocation of memory,Memory management is handled by users,None of the above,It involves printing memory addresses,A
Swift,Beginner,What is an array in Swift?,A list of random values,A collection of elements of the same type,A collection of functions,A set of variables,B
F#,Beginner,How do you write comments in F#?,comment(),// comment,/* comment */,# comment,D
Bash,Beginner,What does the print function do in Bash?,Stores data,Displays a value on the screen,Returns a value,Writes a value to a file,B
SQL,Advanced,Explain multithreading or asynchronous operations in SQL.,None of the above,Executes one task at a time,Handles memory management,Allows multiple tasks to run concurrently,D
Lua,Advanced,What is garbage collection in Lua?,Automatic memory management system,None of the above,A manual process for freeing memory,A method for checking memory leaks,A
C,Intermediate,Explain functions in C.,Functions handle user input,Functions are reusable blocks of code,Functions are used to store variables,Functions are used for file I/O,B
Scala,Advanced,What is garbage collection in Scala?,A manual process for freeing memory,None of the above,Automatic memory management system,A method for checking memory leaks,C
C,Intermediate,How do you define a class in C?,class: ClassName,function ClassName() {},class ClassName:,define ClassName(),C
SQL,Intermediate,Explain functions in SQL.,Functions are used for file I/O,Functions handle user input,Functions are reusable blocks of code,Functions are used to store variables,C
Swift,Beginner,What is an array in Swift?,A collection of functions,A list of random values,A collection of elements of the same type,A set of variables,C
MATLAB,Advanced,What are advanced use cases for MATLAB?,Basic website scripting,File system management,"High-performance computing, data analysis, AI",None of the above,C
Elixir,Beginner,What is the syntax for a basic Elixir program?,echo 'Hello World',print('Hello World'),System.out.println('Hello World'),console.log('Hello World'),B
Bash,Beginner,What is an array in Bash?,A collection of elements of the same type,A set of variables,A list of random values,A collection of functions,A
Kotlin,Beginner,What is the syntax for a basic Kotlin program?,print('Hello World'),console.log('Hello World'),System.out.println('Hello World'),echo 'Hello World',A
